OBJECTID,Type,Mgt_Area,Comments,Shape_Leng
209,Double Track,Rome Point,None,1778.13158415
210,Double Track,Rome Point,None,462.606611259
211,Double Track,Rome Point,None,703.754311575
212,Double Track,Rome Point,None,505.211504756
213,Single Track,Rome Point,None,581.221573558
214,Single Track,Rome Point,None,2482.67572158
215,Single Track,Rome Point,None,401.232863591
216,Single Track,Rome Point,None,2983.59262414
217,Single Track,Rome Point,None,643.1607801
218,Single Track,Rome Point,None,119.427612167
219,Double Track,Rome Point,None,569.958996525
220,Single Track,Arcadia Management Area,UNNAMED,3225.22118721
221,Gravel Road,Arcadia Management Area,MATTESON PLAIN ROAD,167.839613269
222,Single Track,Arcadia Management Area,UNNAMED,3050.38509079
223,Single Track,Arcadia Management Area,Paully Trail,1543.19291926
224,Single Track,Arcadia Management Area,"Paully Trail , repair",4853.64301513
225,Single Track,Arcadia Management Area,UNNAMED,2010.76113477
226,Single Track,Arcadia Management Area,"Mount Tom ,",600.356107404
227,Double Track,Arcadia Management Area,None,4418.89610879
228,Single Track,Arcadia Management Area,Ben Utter Trail,7059.38545133
229,Single Track,Arcadia Management Area,None,82.4093184902
230,Double Track,Burlingame Management Area,None,1701.7090616
231,Gravel Road,Carolina Management Area,None,2033.58594767
232,Double Track,Great Swamp Management Area,None,1808.43164862
233,Double Track,Great Swamp Management Area,None,469.392612784
234,Double Track,Great Swamp Management Area,None,5670.83347942
235,Single Track,Rome Point,None,2456.83063362
236,Gravel Road,Carolina Management Area,None,624.601021657
237,Single Track,Arcadia Management Area,None,4323.99105983
238,Single Track,Arcadia Management Area,None,3810.10901001
239,Double Track,Great Swamp Management Area,None,1795.69831693
240,Double Track,Great Swamp Management Area,None,3003.55088234
241,Double Track,Great Swamp Management Area,None,3208.82246719
242,Single Track,Arcadia Management Area,Hudson Trail,5430.74485228
243,Gravel Road,Tillinghast Pond Management Area,Gravel Road,2327.78427818
244,Gravel Road,Tillinghast Pond Management Area,Gravel Road,295.547853373
245,Single Track,Diamond Hill Reservation / Diamond Hill Park,Trail to Emerson,1618.24263846
246,Single Track,Diamond Hill Reservation / Diamond Hill Park,None,382.300626731
247,Single Track,Diamond Hill Reservation / Diamond Hill Park,None,1494.50948111
248,Single Track,Diamond Hill Reservation / Diamond Hill Park,None,830.255385593
249,Single Track,Scarborough Beach,Black Point,3223.09510516
250,Paved Road,Colt State Park,None,511.256086322
251,Gravel Road,Colt State Park,None,720.008499827
252,Paved Path,Colt State Park,None,511.502550326
253,Gravel Road,Colt State Park,None,373.787740751
254,Gravel Road,Colt State Park,None,111.077155912
255,Paved Path,Colt State Park,None,1802.61292646
256,Paved Road,Colt State Park,None,1584.35334242
257,Paved Road,Colt State Park,None,1754.38819128
258,Paved Path,Colt State Park,None,3288.45538443
259,Gravel Road,Lincoln Woods State Park,LincWoods,311.447399799
260,Double Track,Lincoln Woods State Park,LincWoods,291.453910843
261,Single Track,Lincoln Woods State Park,LincWoods,998.905600912
262,Single Track,Lincoln Woods State Park,LincWoods,1117.75386471
263,Gravel Road,Lincoln Woods State Park,LincWoods,125.601283259
264,Single Track,Lincoln Woods State Park,LincWoods,1235.13308589
265,Single Track,Lincoln Woods State Park,LincWoods,1807.49461937
266,Single Track,Lincoln Woods State Park,LincWoods,334.570031708
267,Single Track,Lincoln Woods State Park,LincWoods,1154.78689546
268,Single Track,Lincoln Woods State Park,LincWoods,305.925426086
269,Single Track,Lincoln Woods State Park,LincWoods,417.355735728
270,Gravel Road,George Washington Management Area,None,465.374380816
271,Gravel Road,George Washington Management Area,None,282.546329417
272,Gravel Road,George Washington Management Area,None,115.055163089
273,Gravel Road,George Washington Management Area,None,191.087429558
274,Single Track,George Washington Management Area,None,338.227547595
275,Single Track,Arcadia Management Area,None,6930.94638027
276,Single Track,Arcadia Management Area,None,830.392940328
277,Double Track,Buck Hill Management Area,None,950.140819721
278,Double Track,Buck Hill Management Area,None,1716.25960324
279,Double Track,Buck Hill Management Area,None,1208.35007541
280,Double Track,Buck Hill Management Area,None,1365.31025377
281,Double Track,Buck Hill Management Area,None,3985.98165051
282,Double Track,Buck Hill Management Area,None,389.35521434
283,Double Track,Buck Hill Management Area,None,106.392835606
284,Double Track,Black Farm Management Area,Black Farm,2082.84412393
285,Double Track,Black Farm Management Area,Black Farm,550.13491948
286,Double Track,Black Farm Management Area,None,2335.57285252
287,Double Track,Buck Hill Management Area,None,1618.50600888
288,Gravel Road,Buck Hill Management Area,None,2788.87062897
289,Single Track,Arcadia Management Area,None,465.665842967
290,Double Track,Goddard Park,Bridle Path,1040.87333675
291,Double Track,Goddard Park,Bridle Path,109.667028162
292,Double Track,Goddard Park,Bridle Path,368.440106549
293,Double Track,Goddard Park,Bridle Path,428.226575627
294,Double Track,Goddard Park,Bridle Path,395.896529436
